Name,Type,%Vbur,Bite angle,P1–M (Å),P2–M (Å),Avg. P–M (Å),Metal center
APOSED,PC2P,0.4737583861349236,83.57875883813264,2.281427184899838,2.2823823080281707,2.2819047464640043,Ru
APOSIH,PC2P,0.4829598397316437,83.9316808548418,2.281581469069208,2.274605460294158,2.2780934646816826,Ru
APOSON,PC2P,0.4837809821095788,84.11221968329724,2.2764768832562305,2.292414665805469,2.28444577453085,Ru
APOSUT,PC2P,0.4789414834140887,83.76325858239028,2.2839330112768192,2.289826194277636,2.286879602777228,Ru
APOTAA,PC2P,0.4848816623183004,84.5438176674186,2.2898751057645046,2.2848590766171992,2.287367091190852,Ru
AQEWAU,PC2P,0.5137206485277674,87.40256602789327,2.291616460056089,2.3028723368871336,2.2972443984716118,Pd
ARALOV,PC2P,0.4713590197540067,82.8672866050414,2.336085186802913,2.3061042907899894,2.321094738796451,Ru
ARALUB,PC2P,0.4708115915020499,82.02252176983133,2.312046712330873,2.336419696886671,2.324233204608772,Ru
ARAMAI,PC2P,0.4935007454342154,85.5164086138412,2.2234671124170027,2.2584634156877548,2.2409652640523787,Ru
ARUJUT,PC2P,0.483111256056653,85.37897260454284,2.261342079385602,2.26533088090901,2.2633364801473057,Ru
ARUKAA,PC2P,0.4863608833395453,84.41976621753737,2.230722304546221,2.2501913251988155,2.240456814872518,Ru
ATAGIM,PC2P,0.4767226518822214,86.56869803687763,2.329845059226042,2.333403308474556,2.3316241838502987,Pd
ATAGOS,PC2P,0.4700312150577712,85.91622801284052,2.3153120739978013,2.3535341510162966,2.334423112507049,Pd
ATIJES,PC2P,0.4773224934774506,83.30488742357028,2.2698515369953163,2.256434798526206,2.263143167760761,Ru
AVEGAJ,PC2P,0.5786840756615729,85.8837109811511,2.331326446467761,2.3440023464152064,2.337664396441484,Ru
AVEYIK,PC2P,0.4845380637346254,82.34479729089932,2.3383284628126995,2.319983620631836,2.329156041722268,Ru
AVEZIK,PC2P,0.674402487886694,88.85339516865974,2.277474258910514,2.3043482809679623,2.2909112699392384,Pd
AVEZOQ,PC2P,0.6495993291092061,87.96570720599286,2.2675497789464285,2.2556832667730635,2.261616522859746,Pd
AVIZOU,PC2P,0.4969483786805814,85.47933866149417,2.179279009213828,2.247937276705024,2.213608142959425,Rh
AVIZUA,PC2P,0.499435100633619,84.2698248112939,2.2071440822927717,2.205753159353965,2.206448620823368,Rh
AVOBAO,PC2P,0.5127888557584793,84.70887245008032,2.2759978031623853,2.194589938917974,2.23529387104018,Rh
AYITEH,PC2P,0.51493780283265,85.55369585209095,2.229442531217165,2.3431145938685964,2.286278562542881,Pd
AYUSOC,PC2P,0.4698157379798732,81.83710166467964,2.2613489337119117,2.2783513776412985,2.269850155676605,Ru
AYUTAP,PC2P,0.4803449962728289,83.41538991736685,2.2792108283351062,2.256358570794988,2.267784699565047,Ru
BADZOW,PC2P,0.5085375512486023,85.27996258256489,2.3439942406072585,2.241995985723436,2.292995113165347,Pd
BAJBAS,PC2P,0.4414950614983228,83.51558642292042,2.3402856663236653,2.345573277473974,2.3429294718988194,Ru
BAQZIF,PC2P,0.5116532333209094,85.41741630599586,2.3176011304795314,2.3176011304795314,2.3176011304795314,Pd
BASNIV,PC2P,0.4730770126723816,85.67645575218938,2.252455104990997,2.2870553119677712,2.269755208479384,Ru
BASNUH,PC2P,0.4630718878121506,83.72441765293415,2.274325614330543,2.260002433627008,2.267164023978776,Ru
BASPIX,PC2P,0.4557806093924711,82.71079581203605,2.3095692239030208,2.2461133096974435,2.277841266800232,Ru
BAVDIO,PC2P,0.5074019288110324,85.01654030873058,2.2608617825953004,2.2707080393568875,2.2657849109760937,Pd
BAVDUA,PC2P,0.5070233879985091,83.55416826274912,2.265171295950926,2.2935404945193354,2.2793558952351307,Pd
BEDZIU,PC2P,0.5045483134550875,85.90232727142532,2.264793588828791,2.344582692079765,2.304688140454278,Pd
BEFSAJ,PC2P,0.5041464778233321,85.79658314688355,2.2863696114145675,2.280357428123936,2.283363519769252,Pd
BENHOU,PC2P,0.4477788389862094,81.8989482522797,2.328902316543139,2.3624023789354767,2.345652347739308,Ru
BEQFIO,PC2P,0.5132489284383153,84.95445538328627,2.317565533054028,2.2187784927747964,2.268172012914412,Pd
BERCEI,PC2P,0.4969076127469251,82.14750380692585,2.251049088758395,2.2851531677329624,2.2681011282456787,Pd
BERPOF,PC2P,0.4676784383153187,82.98363337319735,2.2527862748161454,2.2636684827951288,2.2582273788056373,Ru
BERPUL,PC2P,0.4726926481550503,83.20017444539823,2.2754696218583104,2.2680019841261165,2.2717358029922137,Ru
BETZEH,PC2P,0.4737875046589638,83.23714183532766,2.291421174729779,2.2646447845081576,2.278032979618968,Ru
BEYBIS,PC2P,0.4961738259411107,86.31355449069036,2.336564572187124,2.270151096292932,2.3033578342400283,Pd
BICLOR,PC2P,0.4759597465523668,85.8948848907164,2.255074278155822,2.255055209967152,2.255064744061487,Ru
BIDXUI,PC2P,0.509416930674618,83.98097554772649,2.280768730055724,2.2819311996640037,2.281349964859864,Rh
BOHZOP,PC2P,0.5126083209094298,86.28733350594015,2.328623842530176,2.211172087378095,2.2698979649541355,Pd
BOPMOJ,PC2P,0.4935531587774879,82.57666855521082,2.331929673039048,2.313007565919317,2.3224686194791824,Pd
BUBNES,PC2P,0.5088927972418934,84.37786629623217,2.320884529656745,2.289215367762499,2.3050499487096223,Pd
BUGCUD,PC2P,0.4833092620201267,85.30747881996636,2.3493439509786564,2.245430470978784,2.29738721097872,Pd
BUGDAK,PC2P,0.4705262299664554,85.66290303848862,2.245698555015788,2.354149315570276,2.299923935293032,Pd
BUGVIJ,PC2P,0.5724585352217667,85.99684422490598,2.217883225059426,2.217613356741883,2.2177482909006545,Pd
